transaction,metric,type,csv_file,dataset_name,urlzip
Rent,medianAskingRent,Studio,medianAskingRent_Studio.csv,rent_ask_studio,https://cdn-charts.streeteasy.com/rentals/Studio/medianAskingRent_Studio.zip?_ga=2.17216442.2076389703.1735772943-1839379046.1725247018
Rent,medianAskingRent,OneBd,medianAskingRent_OneBd.csv,rent_ask_onebd,https://cdn-charts.streeteasy.com/rentals/OneBd/medianAskingRent_OneBd.zip?_ga=2.5151664.2076389703.1735772943-1839379046.1725247018
Rent,medianAskingRent,TwoBd,medianAskingRent_TwoBd.csv,rent_ask_twobd,https://cdn-charts.streeteasy.com/rentals/TwoBd/medianAskingRent_TwoBd.zip?_ga=2.5151664.2076389703.1735772943-1839379046.1725247018
Rent,medianAskingRent,ThreePlusBd,medianAskingRent_ThreePlusBd.csv,rent_ask_threeplusbd,https://cdn-charts.streeteasy.com/rentals/ThreePlusBd/medianAskingRent_ThreePlusBd.zip?_ga=2.5151664.2076389703.1735772943-1839379046.1725247018
Rent,medianAskingRent,All,medianAskingRent_All.csv,rent_ask_all,https://cdn-charts.streeteasy.com/rentals/All/medianAskingRent_All.zip?_ga=2.17216442.2076389703.1735772943-1839379046.1725247018
Rent,rentalInventory,Studio,rentalInventory_Studio.csv,rent_inventory_studio,https://cdn-charts.streeteasy.com/rentals/Studio/rentalInventory_Studio.zip?_ga=2.214400788.2076389703.1735772943-1839379046.1725247018
Rent,rentalInventory,OneBd,rentalInventory_OneBd.csv,rent_inventory_onebd,https://cdn-charts.streeteasy.com/rentals/OneBd/rentalInventory_OneBd.zip?_ga=2.214400788.2076389703.1735772943-1839379046.1725247018
Rent,rentalInventory,TwoBd,rentalInventory_TwoBd.csv,rent_inventory_twobd,https://cdn-charts.streeteasy.com/rentals/TwoBd/rentalInventory_TwoBd.zip?_ga=2.235778818.2076389703.1735772943-1839379046.1725247018
Rent,rentalInventory,ThreePlusBd,rentalInventory_ThreePlusBd.csv,rent_inventory_threeplusbd,https://cdn-charts.streeteasy.com/rentals/ThreePlusBd/rentalInventory_ThreePlusBd.zip?_ga=2.235778818.2076389703.1735772943-1839379046.1725247018
Rent,rentalInventory,All,rentalInventory_All.csv,rent_inventory_all,https://cdn-charts.streeteasy.com/rentals/All/rentalInventory_All.zip?_ga=2.210137110.2076389703.1735772943-1839379046.1725247018
Rent,discountShare,Studio,discountShare_Studio.csv,rent_discshare_studio,https://cdn-charts.streeteasy.com/rentals/Studio/discountShare_Studio.zip?_ga=2.42775590.2076389703.1735772943-1839379046.1725247018
Rent,discountShare,OneBd,discountShare_OneBd.csv,rent_discshare_onebd,https://cdn-charts.streeteasy.com/rentals/OneBd/discountShare_OneBd.zip?_ga=2.42775590.2076389703.1735772943-1839379046.1725247018
Rent,discountShare,TwoBd,discountShare_TwoBd.csv,rent_discshare_twobd,https://cdn-charts.streeteasy.com/rentals/TwoBd/discountShare_TwoBd.zip?_ga=2.215840788.2076389703.1735772943-1839379046.1725247018
Rent,discountShare,ThreePlusBd,discountShare_ThreePlusBd.csv,rent_discshare_threeplusbd,https://cdn-charts.streeteasy.com/rentals/ThreePlusBd/discountShare_ThreePlusBd.zip?_ga=2.39810848.2076389703.1735772943-1839379046.1725247018
Rent,discountShare,All,discountShare_All.csv,rent_discshare_all,https://cdn-charts.streeteasy.com/rentals/All/discountShare_All.zip?_ga=2.39810848.2076389703.1735772943-1839379046.1725247018
Sales,totalInventory,Coop,totalInventory_Coop.csv,total_inv_coop,https://cdn-charts.streeteasy.com/sales/Coop/totalInventory_Coop.zip?_ga=2.211663894.2076389703.1735772943-1839379046.1725247018
Sales,totalInventory,Condo,totalInventory_Condo.csv,total_inv_condo,https://cdn-charts.streeteasy.com/sales/Condo/totalInventory_Condo.zip?_ga=2.211663894.2076389703.1735772943-1839379046.1725247018
Sales,totalInventory,Sfr,totalInventory_Sfr.csv,total_inv_sf,https://cdn-charts.streeteasy.com/sales/Sfr/totalInventory_Sfr.zip?_ga=2.6273072.2076389703.1735772943-1839379046.1725247018
Sales,totalInventory,All,totalInventory_All.csv,total_inv_all,https://cdn-charts.streeteasy.com/sales/All/totalInventory_All.zip?_ga=2.211663894.2076389703.1735772943-1839379046.1725247018
Sales,saleListRatio,Coop,saleListRatio_Coop.csv,sale_list_ratio_coop,https://cdn-charts.streeteasy.com/sales/Coop/saleListRatio_Coop.zip?_ga=2.215440532.2076389703.1735772943-1839379046.1725247018
Sales,saleListRatio,Condo,saleListRatio_Condo.csv,sale_list_ratio_condo,https://cdn-charts.streeteasy.com/sales/Condo/saleListRatio_Condo.zip?_ga=2.215440532.2076389703.1735772943-1839379046.1725247018
Sales,saleListRatio,Sfr,saleListRatio_Sfr.csv,sale_list_ratio_sf,https://cdn-charts.streeteasy.com/sales/Sfr/saleListRatio_Sfr.zip?_ga=2.236281730.2076389703.1735772943-1839379046.1725247018
Sales,saleListRatio,All,saleListRatio_All.csv,sale_list_ratio_all,https://cdn-charts.streeteasy.com/sales/All/saleListRatio_All.zip?_ga=2.215440532.2076389703.1735772943-1839379046.1725247018
Sales,recordedSalesVolume,Coop,recordedSalesVolume_Coop.csv,recorded_sales_vol_coop,https://cdn-charts.streeteasy.com/sales/Coop/recordedSalesVolume_Coop.zip?_ga=2.241719297.2076389703.1735772943-1839379046.1725247018
Sales,recordedSalesVolume,Condo,recordedSalesVolume_Condo.csv,recorded_sales_vol_condo,https://cdn-charts.streeteasy.com/sales/Condo/recordedSalesVolume_Condo.zip?_ga=2.240506624.2076389703.1735772943-1839379046.1725247018
Sales,recordedSalesVolume,Sfr,recordedSalesVolume_Sfr.csv,recorded_sales_vol_sf,https://cdn-charts.streeteasy.com/sales/Sfr/recordedSalesVolume_Sfr.zip?_ga=2.240506624.2076389703.1735772943-1839379046.1725247018
Sales,recordedSalesVolume,All,recordedSalesVolume_All.csv,recorded_sales_vol_all,https://cdn-charts.streeteasy.com/sales/All/recordedSalesVolume_All.zip?_ga=2.240506624.2076389703.1735772943-1839379046.1725247018
Sales,medianSalesPrice,Coop,medianSalesPrice_Coop.csv,median_sales_price_coop,https://cdn-charts.streeteasy.com/sales/Coop/medianSalesPrice_Coop.zip?_ga=2.241202177.2076389703.1735772943-1839379046.1725247018
Sales,medianSalesPrice,Condo,medianSalesPrice_Condo.csv,median_sales_price_condo,https://cdn-charts.streeteasy.com/sales/Condo/medianSalesPrice_Condo.zip?_ga=2.241202177.2076389703.1735772943-1839379046.1725247018
Sales,medianSalesPrice,Sfr,medianSalesPrice_Sfr.csv,median_sales_price_sf,https://cdn-charts.streeteasy.com/sales/Sfr/medianSalesPrice_Sfr.zip?_ga=2.47616164.2076389703.1735772943-1839379046.1725247018
Sales,medianSalesPrice,All,medianSalesPrice_All.csv,median_sales_price_all,https://cdn-charts.streeteasy.com/sales/All/medianSalesPrice_All.zip?_ga=2.241202177.2076389703.1735772943-1839379046.1725247018
Sales,medianAskingPrice,Coop,medianAskingPrice_Coop.csv,median_ask_price_coop,https://cdn-charts.streeteasy.com/sales/Coop/medianAskingPrice_Coop.zip?_ga=2.4698160.2076389703.1735772943-1839379046.1725247018
Sales,medianAskingPrice,Condo,medianAskingPrice_Condo.csv,median_ask_price_condo,https://cdn-charts.streeteasy.com/sales/Condo/medianAskingPrice_Condo.zip?_ga=2.4698160.2076389703.1735772943-1839379046.1725247018
Sales,medianAskingPrice,Sfr,medianAskingPrice_Sfr.csv,median_ask_price_sf,https://cdn-charts.streeteasy.com/sales/Sfr/medianAskingPrice_Sfr.zip?_ga=2.5731248.2076389703.1735772943-1839379046.1725247018
Sales,medianAskingPrice,All,medianAskingPrice_All.csv,median_ask_price_all,https://cdn-charts.streeteasy.com/sales/All/medianAskingPrice_All.zip?_ga=2.5731248.2076389703.1735772943-1839379046.1725247018
Sales,daysOnMarket,Coop,daysOnMarket_Coop.csv,days_on_mkt_coop,https://cdn-charts.streeteasy.com/sales/Coop/daysOnMarket_Coop.zip?_ga=2.9993014.2076389703.1735772943-1839379046.1725247018
Sales,daysOnMarket,Condo,daysOnMarket_Condo.csv,days_on_mkt_condo,https://cdn-charts.streeteasy.com/sales/Condo/daysOnMarket_Condo.zip?_ga=2.9993014.2076389703.1735772943-1839379046.1725247018
Sales,daysOnMarket,Sfr,daysOnMarket_Sfr.csv,days_on_mkt_sf,https://cdn-charts.streeteasy.com/sales/Sfr/daysOnMarket_Sfr.zip?_ga=2.245357318.2076389703.1735772943-1839379046.1725247018
Sales,daysOnMarket,All,daysOnMarket_All.csv,days_on_mkt_all,https://cdn-charts.streeteasy.com/sales/All/daysOnMarket_All.zip?_ga=2.245357318.2076389703.1735772943-1839379046.1725247018
Sales,priceCutShare,Coop,priceCutShare_Coop.csv,price_cut_share_coop,https://cdn-charts.streeteasy.com/sales/Coop/priceCutShare_Coop.zip?_ga=2.5020848.2076389703.1735772943-1839379046.1725247018
Sales,priceCutShare,Condo,priceCutShare_Condo.csv,price_cut_share_condo,https://cdn-charts.streeteasy.com/sales/Condo/priceCutShare_Condo.zip?_ga=2.5020848.2076389703.1735772943-1839379046.1725247018
Sales,priceCutShare,Sfr,priceCutShare_Sfr.csv,price_cut_share_sf,https://cdn-charts.streeteasy.com/sales/Sfr/priceCutShare_Sfr.zip?_ga=2.5020848.2076389703.1735772943-1839379046.1725247018
Sales,priceCutShare,All,priceCutShare_All.csv,price_cut_share_all,https://cdn-charts.streeteasy.com/sales/All/priceCutShare_All.zip?_ga=2.5020848.2076389703.1735772943-1839379046.1725247018
