areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
All Downtown,Manhattan,submarket,749000.000,749000.000,699000.000,699000.000,689000.000,677000.000,650000.000,649000.000,650000.000,649000.000,649000.000,650000.000,650000.000,642500.000,649000.000,642500.000,649000.000,650000.000,645000.000,629000.000,649000.000,653500.000,670000.000,669500.000,670000.000,675000.000,675000.000,679000.000,679000.000,665000.000,670000.000,675000.000,699000.000,725000.000,722000.000,699500.000,699000.000,695000.000,750000.000,765000.000,769000.000,755000.000,740000.000,699000.000,702500.000,750000.000,775000.000,775000.000,775000.000,759000.000,749000.000,750000.000,777000.000,799000.000,795000.000,789000.000,799000.000,847000.000,885000.000,900000.000,925000.000,925000.000,975000.000,967500.000,999000.000,1099500.000,1112500.000,1085000.000,1195000.000,1195000.000,1150000.000,1250000.000,1161000.000,1149000.000,1180000.000,1250000.000,1199000.000,1175000.000,1100000.000,1100000.000,1149475.000,1100000.000,1100000.000,1100000.000,1095000.000,1125000.000,1150000.000,1195000.000,1195000.000,1150000.000,1049000.000,1080000.000,1085000.000,1099500.000,1067500.000,1100000.000,1100000.000,1095000.000,999000.000,1100000.000,1150000.000,1049500.000,995000.000,995000.000,999000.000,999975.000,1025000.000,1000000.000,999500.000,1029000.000,1000000.000,1095000.000,1095000.000,1035000.000,995000.000,985000.000,995000.000,985000.000,989999.000,987500.000,975000.000,935000.000,935000.000,970000.000,932500.000,950000.000,927500.000,935000.000,949000.000,965000.000,950000.000,945000.000,925000.000,915000.000,899000.000,900000.000,899000.000,895000.000,875000.000,885000.000,935000.000,950000.000,950000.000,899000.000,927500.000,942000.000,950000.000,989000.000,995000.000,999000.000,990000.000,950000.000,978250.000,999000.000,1075000.000,1099000.000
All Midtown,Manhattan,submarket,595000.000,597000.000,597000.000,599000.000,599000.000,599000.000,575000.000,569000.000,559000.000,555000.000,549000.000,549000.000,549000.000,552000.000,575000.000,575000.000,575000.000,575000.000,575000.000,565000.000,595000.000,599000.000,595000.000,575000.000,579000.000,575000.000,584000.000,595000.000,590000.000,595000.000,584000.000,580000.000,599000.000,615000.000,610000.000,625000.000,615000.000,617000.000,625000.000,625000.000,625000.000,610000.000,599000.000,610000.000,599000.000,600000.000,605000.000,620000.000,625000.000,649000.000,649000.000,650000.000,649000.000,649750.000,649000.000,659500.000,680000.000,682500.000,679000.000,680000.000,687000.000,725000.000,698500.000,700000.000,750000.000,750000.000,759000.000,759000.000,750000.000,772500.000,770000.000,749500.000,780000.000,780000.000,791500.000,796500.000,799000.000,825000.000,819500.000,778000.000,760000.000,775000.000,785000.000,799000.000,800000.000,800000.000,799000.000,795000.000,795000.000,799000.000,799000.000,799000.000,799000.000,795000.000,782500.000,789000.000,767000.000,777000.000,765000.000,749997.000,749000.000,749000.000,729000.000,735000.000,725000.000,745000.000,729000.000,725000.000,722500.000,725000.000,729000.000,750000.000,750000.000,749000.000,729500.000,700000.000,699000.000,699000.000,699000.000,699000.000,675000.000,675000.000,675000.000,682000.000,675000.000,675000.000,675000.000,650000.000,675000.000,675000.000,675000.000,675000.000,675000.000,657500.000,650000.000,675000.000,695000.000,699000.000,699000.000,695000.000,695000.000,699000.000,699000.000,699748.000,699000.000,699000.000,699000.000,699999.000,725000.000,705000.000,699000.000,699000.000,735000.000,749000.000,749000.000,749000.000
All Upper East Side,Manhattan,submarket,900500.000,895000.000,895000.000,895000.000,870000.000,859000.000,850000.000,799000.000,799000.000,825000.000,835000.000,850000.000,799000.000,800000.000,819000.000,795000.000,815000.000,799000.000,749000.000,749000.000,775000.000,799000.000,799000.000,775000.000,775000.000,799000.000,850000.000,850000.000,835950.000,844500.000,849000.000,800000.000,835950.000,887000.000,899000.000,925000.000,899000.000,895000.000,895000.000,939000.000,950000.000,925000.000,875000.000,845000.000,950000.000,995000.000,995000.000,999000.000,975000.000,1100000.000,999000.000,1095000.000,1100000.000,1200000.000,1149000.000,1082500.000,1075000.000,1150000.000,1250000.000,1292500.000,1276000.000,1295000.000,1300000.000,1250000.000,1375000.000,1395000.000,1385000.000,1375000.000,1495000.000,1550000.000,1595000.000,1675000.000,1590000.000,1595000.000,1500000.000,1550000.000,1517500.000,1517500.000,1535000.000,1495000.000,1517500.000,1495000.000,1480000.000,1497500.000,1500000.000,1535000.000,1595000.000,1625000.000,1649000.000,1615000.000,1555000.000,1522500.000,1495000.000,1500000.000,1575000.000,1599000.000,1550000.000,1495000.000,1495000.000,1460000.000,1400000.000,1342000.000,1250000.000,1295000.000,1250000.000,1250000.000,1295000.000,1295000.000,1250000.000,1298000.000,1295000.000,1350000.000,1300000.000,1325000.000,1325000.000,1212500.000,1250000.000,1295000.000,1295000.000,1299000.000,1292000.000,1295000.000,1200000.000,1250000.000,1249000.000,1195000.000,1112500.000,1100000.000,1195000.000,1195000.000,1195000.000,1195000.000,1185000.000,1200000.000,1200000.000,1200000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1195000.000,1150000.000,1180000.000,1195000.000,1195000.000,1189000.000,1195000.000,1230000.000,1295000.000,1295000.000,1350000.000
All Upper Manhattan,Manhattan,submarket,349000.000,349000.000,349500.000,342750.000,339000.000,344000.000,349000.000,349000.000,344000.000,340000.000,340000.000,340000.000,341000.000,340000.000,349500.000,355000.000,350000.000,349000.000,339000.000,339000.000,330000.000,340000.000,335000.000,334250.000,330000.000,325000.000,319000.000,325000.000,319000.000,310000.000,310000.000,309000.000,309000.000,299000.000,299000.000,299000.000,307000.000,309000.000,309000.000,319000.000,319000.000,329000.000,322500.000,310000.000,299000.000,309950.000,310000.000,329900.000,340000.000,359000.000,365000.000,362000.000,354500.000,350000.000,365000.000,359500.000,365250.000,395000.000,375000.000,375000.000,360000.000,349000.000,375000.000,399000.000,399000.000,399000.000,419000.000,399000.000,400000.000,417000.000,404500.000,400000.000,399000.000,419500.000,479000.000,499000.000,499900.000,499000.000,475000.000,480000.000,499000.000,492000.000,494500.000,472000.000,450000.000,499000.000,499000.000,482000.000,460000.000,499000.000,482000.000,455000.000,499000.000,499000.000,470000.000,455000.000,449500.000,468000.000,499000.000,525000.000,539000.000,533500.000,524500.000,450000.000,469000.000,474000.000,460000.000,450000.000,450000.000,459000.000,499000.000,499999.000,492500.000,492500.000,480000.000,475000.000,489500.000,495000.000,487750.000,479500.000,469500.000,475000.000,475000.000,469000.000,479000.000,499000.000,500000.000,525000.000,538750.000,550000.000,539000.000,520000.000,524000.000,499000.000,499000.000,498000.000,489000.000,460000.000,454500.000,449000.000,465000.000,470000.000,470000.000,447000.000,450000.000,475000.000,475000.000,475000.000,462500.000,474900.000,449000.000,448000.000,470000.000,495000.000,499000.000,495000.000
All Upper West Side,Manhattan,submarket,729023.000,769500.000,787000.000,750000.000,760000.000,719000.000,725000.000,699000.000,725000.000,739000.000,732500.000,735000.000,745000.000,739000.000,739000.000,749000.000,749000.000,749000.000,724500.000,699000.000,699000.000,699000.000,699000.000,698500.000,699000.000,725000.000,749000.000,729000.000,734500.000,719000.000,695000.000,689000.000,699000.000,745000.000,740000.000,727000.000,770000.000,750000.000,777000.000,799000.000,799500.000,799000.000,725000.000,699000.000,725000.000,749000.000,775000.000,750000.000,737500.000,799000.000,799000.000,850000.000,850000.000,830000.000,807500.000,799000.000,850000.000,899000.000,800000.000,850000.000,892500.000,954500.000,899000.000,929000.000,995000.000,999000.000,899500.000,970000.000,1050000.000,1075000.000,1050000.000,1150000.000,1150000.000,1150000.000,1162500.000,1250000.000,1275000.000,1198000.000,1100000.000,1095000.000,1200000.000,1200000.000,1275000.000,1200000.000,1250000.000,1399500.000,1395000.000,1495000.000,1400000.000,1393000.000,1350000.000,1295000.000,1299000.000,1375000.000,1385000.000,1295000.000,1250000.000,1195000.000,1150000.000,1239000.000,1262500.000,1180000.000,1125000.000,1100000.000,1147000.000,1175000.000,1195000.000,1250000.000,1195000.000,1195000.000,1235000.000,1175000.000,1195000.000,1195000.000,1112500.000,999000.000,1149000.000,1127500.000,1149000.000,1100000.000,1100000.000,999000.000,950000.000,939000.000,917500.000,949900.000,975000.000,999000.000,1000000.000,999000.000,975000.000,920000.000,915000.000,915000.000,925000.000,1000000.000,989000.000,975000.000,925000.000,925000.000,960000.000,996500.000,999250.000,995000.000,975000.000,999999.000,1012500.000,1245000.000,1195000.000,1050000.000,999000.000,999000.000,1050000.000,1110000.000,1195000.000,1185000.000
Astoria,Queens,neighborhood,,,,,285000.000,330000.000,330000.000,325000.000,325000.000,297000.000,312000.000,299000.000,297000.000,295000.000,295000.000,310000.000,299000.000,339000.000,334000.000,325000.000,322500.000,299000.000,289000.000,285000.000,278000.000,281000.000,285000.000,285000.000,281000.000,275000.000,275000.000,305000.000,334000.000,334000.000,334000.000,340000.000,340000.000,310000.000,342000.000,319000.000,337250.000,339250.000,354250.000,359000.000,337250.000,325000.000,347000.000,359000.000,354500.000,359000.000,345000.000,317500.000,339000.000,350000.000,359000.000,359000.000,375000.000,359000.000,384500.000,390000.000,355000.000,355000.000,375000.000,339000.000,309000.000,345000.000,345000.000,348000.000,359000.000,349000.000,375000.000,395000.000,335000.000,365000.000,382000.000,359000.000,359000.000,359999.000,350000.000,359000.000,374000.000,379000.000,440000.000,487000.000,479000.000,480000.000,475000.000,469000.000,454000.000,449000.000,439000.000,439000.000,399000.000,407000.000,399000.000,385000.000,339000.000,348000.000,439000.000,449000.000,447000.000,449500.000,449000.000,449000.000,450000.000,449000.000,462500.000,454500.000,485000.000,499000.000,499000.000,499500.000,509500.000,499500.000,530000.000,518000.000,527000.000,527000.000,530000.000,530000.000,509000.000,521500.000,499000.000,499000.000,494000.000,489000.000,489000.000,484500.000,499000.000,499000.000,499000.000,489000.000,499000.000,497000.000,485000.000,465000.000,465000.000,459500.000,462500.000,448000.000,445000.000,445000.000,445000.000,448500.000,459000.000,454000.000,425000.000,427000.000,399998.000,399000.000,399000.000,389000.000,392000.000,397000.000,395000.000,385000.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000.000,325000.000,,,,,,,307000.000,,307000.000,287000.000,287000.000,,,325000.000,325000.000,325000.000,325000.000,335000.000,330000.000,335000.000,350000.000,350000.000,330000.000,354900.000,317000.000,316000.000,315000.000,317000.000,310000.000,310000.000,313500.000,310000.000,310000.000,295000.000,295000.000,297000.000,310000.000,329000.000,310000.000,300000.000,310000.000,323000.000,325000.000,326500.000,318000.000,319000.000,329000.000,329000.000,292500.000,289500.000,289500.000,271000.000,329000.000,,345500.000,357750.000,,,357750.000,357750.000,329000.000
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1476600.000,1443200.000,1430000.000,1540000.000,1380000.000,1686960.000,1600000.000,1502400.000,1481200.000,1410000.000,1460000.000,1675000.000
Bay Ridge,Brooklyn,neighborhood,272000.000,272000.000,274900.000,274450.000,269000.000,268000.000,271500.000,284000.000,325000.000,309000.000,282500.000,280000.000,282500.000,254500.000,249000.000,262500.000,254500.000,249000.000,254500.000,254500.000,246500.000,242000.000,235000.000,237000.000,248000.000,229000.000,244000.000,240000.000,248000.000,249000.000,253450.000,249000.000,250000.000,249000.000,250000.000,264500.000,249000.000,249000.000,249000.000,269000.000,249000.000,274000.000,274000.000,281500.000,270500.000,272000.000,274000.000,274000.000,282000.000,249000.000,249000.000,249000.000,245000.000,245000.000,245000.000,245000.000,245000.000,247000.000,245000.000,242500.000,235000.000,242000.000,247000.000,249000.000,249000.000,252500.000,249500.000,269000.000,264500.000,264000.000,309000.000,312000.000,290000.000,294500.000,270950.000,299000.000,299000.000,302000.000,314500.000,349500.000,377500.000,350000.000,350000.000,349500.000,349500.000,360000.000,367500.000,385000.000,385000.000,399000.000,385000.000,385000.000,399500.000,399000.000,410000.000,449500.000,410000.000,437000.000,444500.000,404500.000,385000.000,366000.000,361500.000,364500.000,354950.000,349000.000,343000.000,347500.000,349500.000,349500.000,350000.000,355000.000,357000.000,355000.000,355000.000,349000.000,345000.000,340000.000,345000.000,349000.000,358250.000,371950.000,374950.000,359500.000,359000.000,369000.000,362500.000,376500.000,372000.000,359500.000,360000.000,373500.000,364500.000,359000.000,354500.000,366500.000,375000.000,382000.000,372000.000,359000.000,368500.000,369000.000,368500.000,368500.000,360000.000,361000.000,360000.000,369000.000,380000.000,369000.000,359000.000,354500.000,350000.000,360000.000,369000.000,369000.000
