Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,538492,822481,541680,467001
2005-02-01,569230,821678,545023,470543
2005-03-01,581713,829129,548431,468126
2005-04-01,588133,835111,554054,472706
2005-05-01,589115,850116,561819,480153
2005-06-01,607686,868248,572682,480948
2005-07-01,619124,883701,582997,489230
2005-08-01,626696,898702,591639,497838
2005-09-01,632444,913486,598442,501403
2005-10-01,631436,923443,603307,505515
2005-11-01,637493,931261,610328,513696
2005-12-01,638975,931391,611187,514954
2006-01-01,632368,933124,611742,520967
2006-02-01,644506,935398,615815,525079
2006-03-01,643389,931044,613569,523557
2006-04-01,641850,933768,614463,524880
2006-05-01,651222,936146,618234,529158
2006-06-01,658554,943605,622720,531160
2006-07-01,665291,952158,629621,539405
2006-08-01,672018,955110,633792,545366
2006-09-01,683172,961904,637826,546223
2006-10-01,682474,962057,638991,549747
2006-11-01,683622,965310,641600,552148
2006-12-01,691682,960761,641271,550504
2007-01-01,693233,957004,639274,549840
2007-02-01,682543,948990,632940,549075
2007-03-01,678468,939451,627780,545496
2007-04-01,680785,955849,630868,543829
2007-05-01,675692,967838,630855,538274
2007-06-01,676616,983347,633174,539502
2007-07-01,676565,990120,634211,538025
2007-08-01,676691,999240,635651,535588
2007-09-01,674569,1005391,635991,531872
2007-10-01,674535,1012959,636791,531912
2007-11-01,677667,1019457,636962,526223
2007-12-01,677435,1020179,636237,523426
2008-01-01,669199,1017004,630554,516728
2008-02-01,663573,1023062,629699,514680
2008-03-01,658881,1025139,626551,511295
2008-04-01,651397,1020970,621725,507752
2008-05-01,648573,1025529,621440,506099
2008-06-01,646454,1029838,621188,504158
2008-07-01,646200,1031736,619830,500651
2008-08-01,646561,1028765,617389,495504
2008-09-01,644088,1024553,615113,494731
2008-10-01,641613,1022880,612002,493133
2008-11-01,633981,1016217,605783,490365
2008-12-01,624427,1004324,598632,486073
2009-01-01,608580,991825,589102,480227
2009-02-01,598417,976242,578810,471140
2009-03-01,596956,966435,571593,464379
2009-04-01,590046,941052,562602,460726
2009-05-01,589956,932502,558901,458372
2009-06-01,580485,918740,550654,451782
2009-07-01,580713,907136,546474,447156
2009-08-01,576068,896473,542397,444536
2009-09-01,574937,896317,540216,440669
2009-10-01,569355,892998,537090,437429
2009-11-01,563893,884659,534585,436048
2009-12-01,554810,882964,532899,436232
2010-01-01,554058,883955,531474,432855
2010-02-01,553966,885403,528869,428634
2010-03-01,550690,882187,527521,428246
2010-04-01,549294,884295,526959,426840
