areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
All Downtown,Manhattan,submarket,0.933,0.918,0.907,0.935,0.947,0.939,0.940,0.946,0.943,0.941,0.941,0.946,0.935,0.923,0.928,0.948,0.931,0.944,0.954,0.945,0.952,0.953,0.939,0.938,0.936,0.944,0.936,0.941,0.952,0.954,0.964,0.968,0.958,0.971,0.969,0.962,0.972,0.965,0.970,0.978,0.977,0.977,0.989,1.000,1.000,1.000,0.983,0.986,0.990,0.976,0.974,0.990,1.000,1.000,0.987,0.993,1.000,0.994,0.982,0.986,0.989,0.979,0.980,0.987,1.000,1.000,1.000,1.000,1.004,1.000,0.984,0.987,1.000,0.976,0.979,0.982,0.990,0.989,0.984,0.981,0.987,0.980,0.975,0.965,0.980,0.975,0.975,0.967,0.984,0.992,0.984,0.976,0.991,0.976,0.977,0.972,0.970,0.966,0.957,0.958,0.971,0.973,0.963,0.963,0.981,0.953,0.964,0.955,0.963,0.942,0.936,0.924,0.944,0.956,0.966,0.947,0.958,0.946,0.954,0.934,0.922,0.922,0.954,0.913,0.934,0.944,0.911,0.897,,0.902,,0.873,,,,0.838,,,,,,,,,,,,,,,,,1.000,0.980,0.990,0.989
All Midtown,Manhattan,submarket,0.903,0.917,0.912,0.903,0.923,0.916,0.922,0.920,0.916,0.900,0.909,0.935,0.911,0.905,0.906,0.930,0.921,0.909,0.930,0.920,0.918,0.909,0.907,0.921,0.915,0.909,0.924,0.915,0.937,0.926,0.933,0.935,0.951,0.934,0.942,0.942,0.946,0.947,0.959,0.948,0.949,0.963,0.966,0.967,0.964,0.964,0.967,0.969,0.967,0.970,0.966,0.960,0.973,0.973,0.977,0.973,0.980,0.974,0.966,0.970,0.973,0.970,0.961,0.974,0.978,0.981,0.985,0.998,0.987,0.971,0.978,0.975,0.979,0.971,0.963,0.965,0.979,0.982,0.976,0.985,0.976,0.983,0.972,0.967,0.964,0.968,0.962,0.975,0.973,0.976,0.961,0.970,0.976,0.976,0.965,0.969,0.982,0.970,0.966,0.967,0.965,0.968,0.967,0.962,0.962,0.944,0.955,0.949,0.932,0.948,0.947,0.936,0.941,0.953,0.937,0.946,0.930,0.947,0.941,0.932,0.908,0.913,0.916,0.927,0.945,0.908,0.911,0.876,0.891,0.877,,,0.905,,,,,,,,,,,,,,,,,,,,,1.000,0.970,0.977
All Upper East Side,Manhattan,submarket,0.890,0.902,0.925,0.922,0.919,0.922,0.939,0.929,0.929,0.912,0.906,0.923,0.920,0.908,0.911,0.916,0.928,0.919,0.919,0.918,0.928,0.919,0.912,0.909,0.900,0.912,0.924,0.924,0.931,0.933,0.931,0.924,0.929,0.932,0.936,0.935,0.944,0.946,0.962,0.947,0.958,0.969,0.972,0.972,0.967,0.984,0.986,0.972,0.974,0.965,0.965,0.971,0.976,0.976,0.978,0.988,0.981,0.979,0.973,0.987,0.971,0.976,0.976,0.971,0.982,1.000,0.987,0.990,0.984,0.985,0.979,0.971,1.000,0.969,0.969,0.975,0.977,0.980,0.981,0.977,0.982,0.966,0.968,0.971,0.962,0.971,0.969,0.959,0.975,0.971,0.981,0.976,0.973,0.974,0.957,0.965,0.965,0.967,0.948,0.948,0.957,0.962,0.961,0.965,0.949,0.948,0.937,0.929,0.938,0.938,0.936,0.915,0.939,0.947,0.943,0.941,0.935,0.939,0.908,0.929,0.924,0.918,0.924,0.907,0.913,0.893,0.917,0.916,0.891,0.847,0.866,0.867,,0.828,,,0.827,,,,,,,,,,,,,,,,,0.990,0.977,0.971
All Upper Manhattan,Manhattan,submarket,0.930,0.950,0.942,0.923,0.928,0.942,0.900,0.923,0.902,0.889,0.931,0.935,0.924,0.937,0.883,0.899,0.888,0.915,0.941,0.958,0.979,1.000,0.976,0.948,0.938,0.927,0.947,0.951,0.920,0.952,0.957,0.967,0.936,0.941,0.955,0.932,0.947,0.949,0.937,0.939,0.945,0.972,0.976,0.978,0.976,0.986,0.989,0.982,0.989,0.993,0.973,0.979,0.984,1.000,0.987,0.994,0.978,0.984,0.988,0.974,1.000,0.976,0.989,1.000,0.981,1.000,1.000,1.000,1.003,1.000,1.000,1.000,1.006,1.000,1.000,0.989,1.000,1.004,1.000,1.000,0.993,1.000,1.000,0.993,1.000,0.992,0.972,0.977,0.983,1.000,1.000,1.000,0.993,0.980,0.995,1.000,0.986,0.977,0.980,0.983,0.979,0.983,0.982,0.977,0.989,0.961,0.961,0.971,0.962,0.974,0.970,0.949,0.972,0.970,0.955,0.972,0.965,0.957,0.966,0.974,0.962,0.952,0.972,,0.918,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972,
All Upper West Side,Manhattan,submarket,0.941,0.941,0.950,0.953,0.956,0.960,0.939,0.959,0.951,0.940,0.953,0.939,0.947,0.946,0.931,0.955,0.943,0.960,0.959,0.956,0.940,0.938,0.942,0.942,0.934,0.942,0.939,0.947,0.938,0.946,0.964,0.958,0.957,0.966,0.958,0.956,0.965,0.969,0.970,0.968,0.991,0.988,0.981,0.988,0.984,0.988,0.987,0.975,0.983,0.988,0.979,0.980,0.990,1.000,0.992,0.992,1.000,0.983,0.987,0.982,0.987,0.982,0.963,1.000,1.000,1.000,1.000,1.003,1.000,1.000,0.999,1.000,1.000,0.980,0.982,0.986,0.980,1.000,1.000,0.987,0.991,0.981,0.987,0.980,0.985,0.979,0.971,0.968,0.965,0.983,0.986,0.980,0.983,0.973,0.966,0.968,0.981,0.978,0.960,0.961,0.967,0.967,0.974,0.975,0.955,0.945,0.948,0.942,0.948,0.950,0.932,0.939,0.970,0.958,0.972,0.968,0.964,0.951,0.941,0.958,0.955,0.941,0.927,0.920,0.886,0.923,0.932,0.885,0.918,0.865,,,,,,,,,,,,,,,,,,,,,,,,0.990,0.984,0.946
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915,,,0.942,,,,,,,0.934,,0.974,,0.967,0.980,,,,,,,,,,,,0.958,0.976,0.960,1.000,0.975,,,,0.982,,0.984,1.037,1.000,,,1.000,,1.007,0.984,,,1.000,1.000,1.000,1.000,1.000,0.977,1.000,1.000,0.959,1.000,0.963,0.981,0.950,0.996,0.978,0.972,0.969,,0.940,0.956,0.941,,0.941,0.949,0.957,0.964,,0.968,0.943,0.911,0.968,0.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
